metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.704,0.1206924466015445,0.0607888134081143,True
Precision,Shapiro-Wilk,0.6832380952380952,0.22239875357867556,1.9875830386491867e-06,False
Recall,Shapiro-Wilk,0.616,0.25768197453450253,0.001770921207870532,False
F1-Score,Shapiro-Wilk,0.6407272727272726,0.23080434539337435,0.00035352971348815186,False
ROC-AUC,Shapiro-Wilk,0.8016000000000001,0.09847503913852147,0.17261145995066635,True
MCC,Shapiro-Wilk,0.41699133631640145,0.24361720377085405,0.08838015670157479,True
Log Loss,Shapiro-Wilk,0.942592897406104,1.4931597658246885,1.7518715614450934e-09,False
Cohen's Kappa,Shapiro-Wilk,0.408,0.241384893203089,0.06078881340811321,True
Execution Time (s),Shapiro-Wilk,178.77532930374144,232.3673499059587,3.52422886447182e-06,False
CV Accuracy (Mean),Shapiro-Wilk,0.6812499999999999,0.20072784228070276,0.0018101685700224767,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.23897846759128577,0.08415409375803115,0.00043398484721272337,False
