metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.72,0.25331140255951107,1.060992198707511e-06,False
Precision,Shapiro-Wilk,0.56,0.4406434688800762,5.607277294900074e-05,False
Recall,Shapiro-Wilk,0.68,0.47609522856952335,3.327653933949832e-07,False
F1-Score,Shapiro-Wilk,0.6,0.44095855184409843,2.332533525226447e-05,False
ROC-AUC,Shapiro-Wilk,0.84,0.3741657386773941,1.1087839569876196e-08,False
MCC,Shapiro-Wilk,0.44,0.5066228051190221,1.060992198707511e-06,False
Log Loss,Shapiro-Wilk,0.6443075890638978,0.14691995023979695,0.0004530396220829403,False
Cohen's Kappa,Shapiro-Wilk,0.44,0.5066228051190221,1.060992198707511e-06,False
Execution Time (s),Shapiro-Wilk,3.477905759811401,5.416382942135884,7.63101649109571e-07,False
CV Accuracy (Mean),Shapiro-Wilk,,,,
CV Accuracy (Std Dev),Shapiro-Wilk,,,,
