metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.6781742221113676,0.03623390057260682,0.0005645432344640525,False
Precision,Shapiro-Wilk,0.7188409533803722,0.05615634080162996,1.095872593312539e-05,False
Recall,Shapiro-Wilk,0.7449380821917808,0.10957903643830207,0.0034911142076263597,False
F1-Score,Shapiro-Wilk,0.7233036292132999,0.025588267944838903,0.019592254225347525,False
ROC-AUC,Shapiro-Wilk,0.7603536079401318,0.019170541423119396,1.3783908003621835e-05,False
MCC,Shapiro-Wilk,0.34368270664848066,0.09425514012738914,5.725403979817968e-06,False
Log Loss,Shapiro-Wilk,0.6729266257504086,0.20000991838721185,7.37820019410608e-08,False
Cohen's Kappa,Shapiro-Wilk,0.3343119623697892,0.10542894756443139,6.607751809997862e-06,False
Execution Time (s),Shapiro-Wilk,239.69196810722352,305.035151136196,3.240795527984463e-06,False
CV Accuracy (Mean),Shapiro-Wilk,0.6841679203318661,0.019180951211034195,0.00039597364098998715,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.005506243988929278,0.0016555058642327828,0.0051674662168427294,False
