metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.6559999999999999,0.15567059238447492,0.4723253324512787,True
Precision,Shapiro-Wilk,0.6583650793650793,0.16559208571394948,0.1620267973164337,True
Recall,Shapiro-Wilk,0.7280000000000001,0.2227105745132009,0.0013398808952946736,False
F1-Score,Shapiro-Wilk,0.6744784104784105,0.15181397937084226,0.3129411469925458,True
ROC-AUC,Shapiro-Wilk,0.7567999999999999,0.18327392976998483,0.0047957803899381065,False
MCC,Shapiro-Wilk,0.3443450799384077,0.31538659805880787,0.2820489887240077,True
Log Loss,Shapiro-Wilk,0.6734803491171594,0.2520989818344567,6.374080247339036e-05,False
Cohen's Kappa,Shapiro-Wilk,0.312,0.3113411847689498,0.4723253324512787,True
Execution Time (s),Shapiro-Wilk,313.1236810684204,389.1157871536975,1.0613112392637692e-05,False
CV Accuracy (Mean),Shapiro-Wilk,0.61875,0.09810708435174292,0.006425482570090051,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.2584589049357844,0.08609448737688256,7.561388719700508e-05,False
