metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.22,0.25331140255951107,1.060992198707511e-06,False
Precision,Shapiro-Wilk,0.22,0.25331140255951107,1.060992198707511e-06,False
Recall,Shapiro-Wilk,0.44,0.5066228051190221,1.060992198707511e-06,False
F1-Score,Shapiro-Wilk,0.29333333333333333,0.33774853674601474,1.060992198707511e-06,False
ROC-AUC,Shapiro-Wilk,0.0,0.0,1.0,True
MCC,Shapiro-Wilk,-0.56,0.5066228051190221,1.060992198707511e-06,False
Log Loss,Shapiro-Wilk,1.1822329245131342,0.7631822464588743,7.061319947412381e-08,False
Cohen's Kappa,Shapiro-Wilk,-0.56,0.5066228051190221,1.060992198707511e-06,False
Execution Time (s),Shapiro-Wilk,126.56899866104126,146.43814999720695,1.1940350471192089e-05,False
CV Accuracy (Mean),Shapiro-Wilk,,,,
CV Accuracy (Std Dev),Shapiro-Wilk,,,,
