metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.6343162583518931,0.027528470307967366,0.0078453838741323,False
Precision,Shapiro-Wilk,0.6128281923427125,0.03378178578101999,0.0063223550849139465,False
Recall,Shapiro-Wilk,0.6222368730868848,0.033318251663957965,0.010189469965416654,False
F1-Score,Shapiro-Wilk,0.6168137971708189,0.025448847142351957,0.011743147883978509,False
ROC-AUC,Shapiro-Wilk,0.6822420409758674,0.0372887915568872,0.0028559537575113605,False
MCC,Shapiro-Wilk,0.26784037916696785,0.054110205423140066,0.0063656153593905215,False
Log Loss,Shapiro-Wilk,0.6958188669378208,0.1708248573881869,5.312010490848074e-09,False
Cohen's Kappa,Shapiro-Wilk,0.2672309607759363,0.054038923766853486,0.00671862632291377,False
Execution Time (s),Shapiro-Wilk,94.84132578849793,117.45240752206858,2.5368738423010347e-06,False
CV Accuracy (Mean),Shapiro-Wilk,0.6245731254639941,0.028530431411537147,0.0011055700386126397,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.007657805047510473,0.0032031547991006365,0.011102324103597868,False
