metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.7425835189309578,0.017684054870542795,6.239764037205778e-06,False
Precision,Shapiro-Wilk,0.7351544968239659,0.03622687033614016,4.245635984927179e-05,False
Recall,Shapiro-Wilk,0.7232116788321167,0.06669068609364547,0.00018500482843679744,False
F1-Score,Shapiro-Wilk,0.7257886537678485,0.020657459367392807,1.0090760539771864e-06,False
ROC-AUC,Shapiro-Wilk,0.8263066025751589,0.008815193154135318,0.0005512568724112532,False
MCC,Shapiro-Wilk,0.48798461062144527,0.02251807087211433,0.0012930497734333513,False
Log Loss,Shapiro-Wilk,0.5925703239060186,0.13184943854364606,2.16582943522949e-06,False
Cohen's Kappa,Shapiro-Wilk,0.48352493649578565,0.03291188818241626,1.0721920340450153e-05,False
Execution Time (s),Shapiro-Wilk,102.78184146881104,118.23998079564656,1.1431216973843538e-05,False
CV Accuracy (Mean),Shapiro-Wilk,0.7446980945310567,0.009549999022331038,0.005799303553503704,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.010069555970551678,0.0016963803994696556,0.0012783447158363182,False
