metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.684,0.14341083176199304,0.00045718484136992904,False
Precision,Shapiro-Wilk,0.7167619047619047,0.1797940683934775,0.0005502525854439325,False
Recall,Shapiro-Wilk,0.6240000000000001,0.1942506971244462,0.03496747759046029,False
F1-Score,Shapiro-Wilk,0.6566464646464647,0.16987528960675138,0.08218306751731802,True
ROC-AUC,Shapiro-Wilk,0.7639999999999999,0.10645812948447544,0.03398375834736692,False
MCC,Shapiro-Wilk,0.37964511950793633,0.29395878665129055,0.0007144064529665794,False
Log Loss,Shapiro-Wilk,0.6151154156586105,0.16635660470854005,0.0035636823120386504,False
Cohen's Kappa,Shapiro-Wilk,0.368,0.2868216635239861,0.0004571848413699356,False
Execution Time (s),Shapiro-Wilk,342.84563829421995,325.5376739403144,0.0014631186301007884,False
CV Accuracy (Mean),Shapiro-Wilk,0.6625,0.13601470508735444,0.037414795713411,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.24624270296733813,0.044596337491942466,0.00026893278850198137,False
