metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.44800000000000006,0.13880441875771343,0.003009286771569357,False
Precision,Shapiro-Wilk,0.3066349206349206,0.2789151770501456,0.0013075398366840093,False
Recall,Shapiro-Wilk,0.32800000000000007,0.34583232931581165,0.00129179061314086,False
F1-Score,Shapiro-Wilk,0.3014978354978355,0.2836237210635224,0.001608109565249421,False
ROC-AUC,Shapiro-Wilk,0.5248,0.13041983489229442,0.00657729499442712,False
MCC,Shapiro-Wilk,-0.13653576535156298,0.3161533287305127,0.008306739747200817,False
Log Loss,Shapiro-Wilk,0.7776170021093304,0.16336869826311917,1.1276383985416567e-05,False
Cohen's Kappa,Shapiro-Wilk,-0.10399999999999997,0.2776088375154268,0.0030092867715693925,False
Execution Time (s),Shapiro-Wilk,17.992998390197755,23.500556872459253,6.1957149839555155e-06,False
CV Accuracy (Mean),Shapiro-Wilk,0.38125,0.22867371223353736,0.018504015717214925,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.21433035249352808,0.08366600265340755,3.408159865908172e-07,False
