metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.8775157448400573,0.08140423506284102,2.3067369425693024e-05,False
Precision,Shapiro-Wilk,0.8812202911969762,0.08208412943536506,2.358356520545503e-05,False
Recall,Shapiro-Wilk,0.9204953424657535,0.042791925973300254,0.03689879333391353,False
F1-Score,Shapiro-Wilk,0.8980645724236748,0.05563836537444302,0.0011976284736191392,False
ROC-AUC,Shapiro-Wilk,0.9360288486174531,0.09723902415478312,3.2005473326203475e-08,False
MCC,Shapiro-Wilk,0.7452232996832288,0.1859354397244498,4.339280504893081e-06,False
Log Loss,Shapiro-Wilk,0.5436138647174087,1.3229911326816808,3.834511486723318e-10,False
Cohen's Kappa,Shapiro-Wilk,0.7442208338510181,0.18616919010580846,4.627819286139443e-06,False
Execution Time (s),Shapiro-Wilk,1976.7069320201874,3306.120347694471,6.388896710781141e-07,False
CV Accuracy (Mean),Shapiro-Wilk,0.864666089778397,0.04773291810774927,0.09060817159268546,True
CV Accuracy (Std Dev),Shapiro-Wilk,0.00430954349452846,0.001061283526047349,0.18022738028177593,True
