metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.5680000000000001,0.17729448195962935,0.3317966482797865,True
Precision,Shapiro-Wilk,0.5352222222222222,0.2181351071242488,0.029689247709776385,False
Recall,Shapiro-Wilk,0.672,0.2638181191654584,0.0008072768852221673,False
F1-Score,Shapiro-Wilk,0.5864881784881785,0.22180313421225728,0.0012955999581332088,False
ROC-AUC,Shapiro-Wilk,0.6048,0.20341091416145793,0.01768241764734043,False
MCC,Shapiro-Wilk,0.11764965809277263,0.38924846933692275,0.4256117028922066,True
Log Loss,Shapiro-Wilk,0.7516558989989046,0.3138091124345646,8.738847594068091e-06,False
Cohen's Kappa,Shapiro-Wilk,0.136,0.3545889639192587,0.33179664827976674,True
Execution Time (s),Shapiro-Wilk,446.1266016197205,573.0871667716392,8.427630384105454e-06,False
CV Accuracy (Mean),Shapiro-Wilk,0.5375,0.15000000000000002,0.12099363513211042,True
CV Accuracy (Std Dev),Shapiro-Wilk,0.2717775803095512,0.06228490959955295,0.009087945422326067,False
